word,freq
technician,262
back,115
tech,100
pain,90
left,79
site,69
right,68
felt,68
tower,67
work,61
employee,52
nacelle,47
hand,47
first,46
cut,44
hub,43
day,42
knee,41
finger,40
motor,39
ehs,39
turbine,38
reported,36
gearbox,33
aid,33
causing,31
climb,31
bag,31
ladder,31
pitch,30
truck,28
technicians,28
small,27
deck,27
yaw,26
morning,26
working,26
slipped,26
shaft,25
manager,25
injury,24
box,24
side,24
went,24
climbing,24
wrench,24
called,23
using,22
hit,22
noticed,22
eye,21
oil,21
removing,21
wtg,21
door,21
next,20
maintenance,20
head,20
minor,20
generator,20
gloves,20
time,20
continued,19
fell,19
sharp,19
team,19
bolt,18
top,18
lift,18
blade,18
techs,18
shop,18
injured,18
tool,18
nurse,18
bearing,18
applied,17
struck,17
onto,17
wearing,17
around,17
walking,17
arm,17
lower,17
rotor,16
approximately,16
main,16
lead,16
incident,16
middle,16
thumb,16
caused,15
get,15
came,15
two,15
position,15
feeling,15
started,15
performing,15
torque,15
got,15
put,15
climbed,15
one,15
leg,15
process,14
metal,14
end,14
area,14
way,14
ground,14
used,14
bolts,14
line,14
notified,14
assist,13
lifting,13
just,13
job,13
foot,13
contact,13
immediately,12
plate,12
moving,12
soreness,12
completed,12
caught,12
wind,12
ring,12
upon,12
able,11
lock,11
finished,11
event,11
swelling,11
place,11
safety,11
began,11
shoulder,11
stopped,11
tight,11
erad,11
speed,11
another,11
little,11
medical,11
index,11
slip,11
contractor,11
new,10
rest,10
sore,10
still,10
repair,10
placed,10
pulled,10
wrist,10
handle,10
second,10
elbow,10
rear,10
near,10
feel,10
triage,10
upper,10
report,10
battery,10
contacted,10
removed,10
edge,10
hatch,10
cover,10
drive,9
bedplate,9
inside,9
due,9
case,9
putting,9
woke,9
laceration,9
opening,9
exchange,9
discomfort,9
took,9
brake,9
impact,9
puck,9
coordinator,9
water,9
made,9
front,9
weight,9
broke,8
installing,8
platform,8
glasses,8
employees,8
motion,8
power,8
pulling,8
piece,8
coupler,8
arrived,8
cleaned,8
treatment,8
coming,8
reached,8
slight,8
open,8
pallet,8
said,8
cable,8
support,8
transitioning,8
completing,8
task,8
asked,8
office,8
half,8
stated,8
self,8
filter,8
pin,8
individual,8
stepping,7
supervisor,7
cap,7
activities,7
approx,7
away,7
received,7
pinched,7
skin,7
axis,7
became,7
move,7
changing,7
replacement,7
thought,7
chest,7
affected,7
cutting,7
gear,7
amount,7
transition,7
loose,7
bleeding,7
feet,7
basket,7
enough,7
hospital,7
pressure,7
stepped,7
normal,7
cabinet,7
heat,7
step,7
bracket,7
drill,7
heavy,7
light,7
stop,7
replacing,7
steps,7
care,7
sitting,7
